timestamp,tray,filename,patch_sr,processing time,Gradient-SG,GradCAM,matlab_sr,Manual,Hypahl_transect
07-08-19_6dpi,tray1,85-4509022,15.47,24.712863445281982,2.21,3.81,5.0,0.1,4.0
07-08-19_6dpi,tray1,86-4509023,20.71,26.36390733718872,2.81,4.81,7.0,0.5,27.0
07-08-19_6dpi,tray1,87-4509024,50.98,33.99954891204834,8.01,14.98,31.0,5.0,23.0
07-08-19_6dpi,tray1,88-4509025,28.91,27.93324637413025,3.91,6.99,6.0,0.5,13.0
07-08-19_6dpi,tray1,89-4509026,4.3,21.73743462562561,0.72,1.0,3.0,0.1,3.0
07-08-19_6dpi,tray1,90-4509027,4.01,21.414626836776733,0.6,0.89,1.0,0.1,2.0
07-08-19_6dpi,tray1,91-4509028,16.98,25.141467809677124,2.3,3.81,6.0,0.4,18.0
07-08-19_6dpi,tray1,92-4509029,61.5,35.933257818222046,9.65,17.3,47.0,10.0,33.0
07-08-19_6dpi,tray1,93-4509030,79.27,41.606096506118774,14.99,27.94,79.0,40.0,85.0
07-08-19_6dpi,tray1,94-4509032,19.54,25.44431781768799,2.56,4.25,17.0,0.2,6.0
07-08-19_6dpi,tray1,95-4509034,22.27,26.316351890563965,2.91,5.17,26.0,1.0,18.0
07-08-19_6dpi,tray1,96-4509035,40.1,29.729816913604736,6.05,11.02,43.0,5.0,38.0
07-08-19_6dpi,tray1,97-4509038,18.04,24.578805923461914,2.8,4.61,22.0,0.2,18.0
07-08-19_6dpi,tray1,98-4509039,5.76,22.33962106704712,0.95,1.44,7.0,0.2,22.0
07-08-19_6dpi,tray1,99-4509040,9.09,22.743403673171997,1.43,2.47,39.0,10.0,40.0
07-08-19_6dpi,tray1,100-4509041,28.19,28.53105664253235,3.9,6.74,20.0,4.0,18.0
07-08-19_6dpi,tray1,268-Thompson_Seedless,93.52,46.214765548706055,25.35,43.09,76.0,70.0,220.0
07-08-19_6dpi,tray1,269-Ren7,77.51,43.00287318229675,14.56,24.93,66.0,40.0,105.0
,,,26.516078431372552,27.349086275287704,4.266764705882354,7.5324509803921575,22.058823529411764,7.5813725490196076,25.80392156862745
,,,24.404960709685895,6.462104031626135,4.531928350906696,8.21258746943482,23.17510764686536,13.111643456754791,31.008155814935087
,,,0.0,18.106660842895508,0.02,0.03,0.0,0.0,0.0
,,,93.52,46.214765548706055,25.35,43.09,88.0,70.0,220.0
